date,open,high,low,close
2018-01-02,1759.02,1770.01,1748.53,1769.67
2018-01-03,1770.03,1798.78,1766.34,1795.38
2018-01-04,1790.65,1795.25,1788.54,1794.61
2018-01-05,1797.26,1804.88,1795.26,1801.42
2018-01-08,1801.18,1806.16,1785.38,1806.16
2018-01-09,1803.36,1808.66,1799.42,1803.59
2018-01-10,1803.6,1804.73,1780.1,1791.08
2018-01-11,1787.38,1807.15,1776.01,1804.23
2018-01-12,1800.89,1802.52,1785.61,1785.7
2018-01-15,1778.79,1780.19,1727.0,1732.62
2018-01-16,1729.56,1740.85,1720.65,1729.6
2018-01-17,1722.45,1750.06,1697.62,1742.03
2018-01-18,1735.46,1754.62,1734.77,1738.0
2018-01-19,1735.03,1745.59,1726.53,1728.14
2018-01-22,1726.32,1776.18,1715.43,1768.21
2018-01-23,1767.33,1776.49,1760.34,1767.83
2018-01-24,1763.69,1817.08,1752.3,1813.28
2018-01-25,1811.11,1852.23,1807.51,1810.83
2018-01-26,1809.13,1830.55,1809.13,1816.8
2018-01-29,1811.54,1826.1,1791.58,1799.77
2018-01-30,1794.33,1808.01,1779.33,1782.4
2018-01-31,1766.77,1767.78,1732.98,1735.06
2018-02-01,1735.66,1746.55,1697.39,1697.39
2018-02-02,1683.18,1726.89,1676.24,1702.43
2018-02-05,1678.19,1698.28,1674.98,1688.27
2018-02-06,1653.45,1675.56,1597.89,1598.12
2018-02-07,1632.87,1637.78,1571.47,1616.4
2018-02-08,1608.73,1651.59,1608.63,1641.43
2018-02-09,1598.48,1629.36,1576.89,1592.51
2018-02-12,1604.56,1654.65,1604.56,1648.07
2018-02-13,1657.13,1669.08,1644.87,1648.58
2018-02-14,1649.57,1652.01,1633.76,1646.77
2018-02-22,1661.56,1679.79,1650.88,1677.76
2018-02-23,1674.62,1681.24,1656.95,1668.83
2018-02-26,1683.15,1733.71,1673.95,1729.15
2018-02-27,1729.94,1757.37,1728.31,1743.54
2018-02-28,1730.15,1773.73,1723.39,1753.63
2018-03-01,1744.34,1789.85,1741.03,1789.85
2018-03-02,1777.46,1804.25,1767.9,1772.01
2018-03-05,1780.82,1795.69,1768.88,1795.69
2018-03-06,1798.03,1810.26,1790.54,1797.61
2018-03-07,1795.17,1800.45,1780.3,1785.27
2018-03-08,1783.1,1795.82,1781.46,1793.22
2018-03-09,1794.25,1858.03,1793.92,1856.46
2018-03-12,1872.03,1901.15,1872.03,1882.41
2018-03-13,1879.63,1896.5,1863.16,1872.68
2018-03-14,1863.57,1874.15,1840.35,1841.29
2018-03-15,1833.77,1848.72,1812.48,1848.71
2018-03-16,1847.18,1857.15,1821.32,1821.32
2018-03-19,1822.6,1860.2,1818.62,1842.92
2018-03-20,1828.01,1867.46,1825.67,1864.62
2018-03-21,1866.81,1877.13,1829.91,1829.91
2018-03-22,1830.56,1841.4,1814.69,1817.23
2018-03-23,1751.74,1792.23,1710.4,1726.02
2018-03-26,1704.35,1781.84,1693.73,1780.61
2018-03-27,1799.15,1846.54,1797.09,1844.69
2018-03-28,1819.66,1856.88,1816.44,1835.15
2018-03-29,1843.44,1857.32,1825.97,1842.19
2018-03-30,1850.2,1900.96,1849.25,1900.48
2018-04-02,1911.57,1918.22,1891.96,1900.25
2018-04-03,1869.87,1886.97,1850.01,1872.47
2018-04-04,1880.33,1887.11,1834.67,1836.81
2018-04-09,1830.88,1862.97,1819.09,1841.65
2018-04-10,1838.88,1842.22,1811.35,1835.52
2018-04-11,1840.09,1857.92,1832.42,1834.63
2018-04-12,1830.91,1848.63,1826.69,1826.89
2018-04-13,1840.87,1848.92,1822.66,1824.59
2018-04-16,1818.25,1852.08,1816.32,1838.71
2018-04-17,1843.75,1849.69,1783.74,1783.74
2018-04-18,1793.83,1832.99,1757.39,1822.26
2018-04-19,1815.45,1839.13,1812.93,1820.28
2018-04-20,1813.75,1830.73,1781.21,1782.81
2018-04-23,1784.15,1794.68,1729.9,1753.05
2018-04-24,1753.64,1806.9,1749.18,1806.86
2018-04-25,1798.0,1825.23,1795.79,1819.41
2018-04-26,1818.69,1819.43,1780.62,1781.28
2018-04-27,1790.3,1813.57,1779.17,1805.6
2018-05-02,1814.63,1833.27,1788.01,1801.57
2018-05-03,1797.12,1827.77,1767.6,1826.79
2018-05-04,1821.02,1832.96,1812.07,1814.85
2018-05-07,1819.67,1854.3,1819.02,1852.34
2018-05-08,1852.69,1857.95,1842.63,1856.87
2018-05-09,1853.83,1861.94,1845.9,1855.81
2018-05-10,1857.99,1866.82,1846.11,1865.36
2018-05-11,1866.93,1870.0,1834.78,1834.78
2018-05-14,1835.7,1844.65,1825.69,1830.98
2018-05-15,1830.84,1858.99,1825.5,1858.01
2018-05-16,1850.01,1862.29,1845.09,1846.67
2018-05-17,1845.28,1851.12,1826.23,1831.2
2018-05-18,1829.06,1839.0,1812.66,1836.75
2018-05-21,1845.76,1870.57,1845.76,1862.48
2018-05-22,1860.63,1876.16,1858.11,1876.0
2018-05-23,1869.5,1876.2,1845.81,1845.97
2018-05-24,1847.81,1855.99,1837.44,1838.4
2018-05-25,1835.41,1841.64,1804.55,1804.55
2018-05-28,1804.78,1815.22,1788.03,1796.91
2018-05-29,1795.72,1815.2,1773.62,1773.65
2018-05-30,1744.24,1758.87,1724.28,1726.22
2018-05-31,1741.33,1748.53,1714.85,1743.74
2018-06-01,1734.35,1744.01,1699.68,1709.55
2018-06-04,1709.57,1715.41,1690.99,1702.93
2018-06-05,1702.37,1747.75,1702.37,1746.11
2018-06-06,1744.17,1751.97,1735.37,1743.25
