date,open,high,low,close
2019-02-20 13:55:00,8397.41,8407.47,8396.59,8407.14
2019-02-20 14:00:00,8407.8,8422.54,8407.8,8419.83
2019-02-20 14:05:00,8420.51,8439.26,8419.61,8439.26
2019-02-20 14:10:00,8440.32,8450.1,8439.95,8440.44
2019-02-20 14:15:00,8440.94,8441.08,8435.77,8440.55
2019-02-20 14:20:00,8440.08,8447.7,8432.78,8447.7
2019-02-20 14:25:00,8448.01,8465.57,8448.01,8464.7
2019-02-20 14:30:00,8465.04,8470.89,8464.71,8465.62
2019-02-20 14:35:00,8465.56,8482.81,8465.29,8480.16
2019-02-20 14:40:00,8479.96,8482.44,8470.24,8470.24
2019-02-20 14:45:00,8470.07,8470.14,8463.66,8464.99
2019-02-20 14:50:00,8465.41,8468.28,8460.76,8460.91
2019-02-20 14:55:00,8460.69,8464.71,8459.93,8463.8
2019-02-20 15:00:00,8464.21,8468.6,8464.21,8468.02
2019-02-21 09:35:00,8461.72,8469.01,8447.27,8469.01
2019-02-21 09:40:00,8469.57,8480.08,8430.86,8430.86
2019-02-21 09:45:00,8428.97,8443.56,8416.25,8441.19
2019-02-21 09:50:00,8442.8,8478.25,8442.35,8469.77
2019-02-21 09:55:00,8469.39,8476.05,8466.0,8476.05
2019-02-21 10:00:00,8477.47,8484.24,8468.6,8475.77
2019-02-21 10:05:00,8475.53,8508.0,8475.53,8507.48
2019-02-21 10:10:00,8508.57,8508.57,8492.23,8500.67
2019-02-21 10:15:00,8502.0,8503.77,8482.14,8482.14
2019-02-21 10:20:00,8481.21,8481.21,8464.72,8468.48
2019-02-21 10:25:00,8467.59,8468.9,8460.07,8460.98
2019-02-21 10:30:00,8461.13,8480.34,8461.13,8480.34
2019-02-21 10:35:00,8481.04,8485.15,8479.57,8480.99
2019-02-21 10:40:00,8480.08,8495.78,8478.69,8495.78
2019-02-21 10:45:00,8495.62,8501.08,8492.69,8492.69
2019-02-21 10:50:00,8491.89,8498.93,8486.83,8497.99
2019-02-21 10:55:00,8499.2,8516.09,8499.2,8515.12
2019-02-21 11:00:00,8515.63,8537.36,8515.63,8537.26
2019-02-21 11:05:00,8537.48,8541.04,8527.77,8527.77
2019-02-21 11:10:00,8527.41,8527.41,8517.95,8526.31
2019-02-21 11:15:00,8525.99,8530.64,8518.14,8519.43
2019-02-21 11:20:00,8519.81,8538.53,8519.63,8538.53
2019-02-21 11:25:00,8538.4,8549.78,8535.11,8535.11
2019-02-21 11:30:00,8535.12,8538.91,8533.16,8538.63
2019-02-21 13:05:00,8540.02,8571.98,8540.02,8571.98
2019-02-21 13:10:00,8572.67,8586.68,8572.31,8585.5
2019-02-21 13:15:00,8585.04,8612.72,8585.04,8612.63
2019-02-21 13:20:00,8611.71,8619.13,8611.71,8615.43
2019-02-21 13:25:00,8614.83,8619.17,8601.17,8601.17
2019-02-21 13:30:00,8601.28,8607.11,8599.46,8607.11
2019-02-21 13:35:00,8606.05,8614.85,8600.66,8600.66
2019-02-21 13:40:00,8601.43,8616.23,8600.05,8615.47
2019-02-21 13:45:00,8615.7,8616.43,8612.57,8615.3
2019-02-21 13:50:00,8614.97,8614.97,8577.08,8577.08
2019-02-21 13:55:00,8576.78,8576.78,8560.7,8560.7
2019-02-21 14:00:00,8560.02,8560.02,8517.36,8521.65
2019-02-21 14:05:00,8520.73,8529.26,8509.5,8529.26
2019-02-21 14:10:00,8529.51,8533.53,8523.76,8523.76
2019-02-21 14:15:00,8522.7,8523.16,8488.2,8488.68
2019-02-21 14:20:00,8487.11,8487.11,8450.61,8450.88
2019-02-21 14:25:00,8450.03,8480.26,8446.49,8479.03
2019-02-21 14:30:00,8478.81,8479.93,8473.47,8478.99
2019-02-21 14:35:00,8478.72,8478.72,8452.26,8453.97
2019-02-21 14:40:00,8455.58,8457.94,8446.16,8452.63
2019-02-21 14:45:00,8452.0,8453.09,8429.59,8429.59
2019-02-21 14:50:00,8428.98,8428.98,8416.17,8422.44
2019-02-21 14:55:00,8422.83,8447.03,8422.83,8446.34
2019-02-21 15:00:00,8445.99,8453.08,8445.99,8452.08
2019-02-22 09:35:00,8431.95,8459.59,8423.95,8458.11
2019-02-22 09:40:00,8456.13,8456.13,8433.23,8433.23
2019-02-22 09:45:00,8432.43,8453.28,8417.59,8453.17
2019-02-22 09:50:00,8453.96,8462.54,8447.16,8447.16
2019-02-22 09:55:00,8447.5,8447.5,8413.71,8413.71
