date,open,high,low,close
2018-01-02,4045.21,4087.78,4045.21,4087.4
2018-01-03,4091.46,4140.05,4088.73,4111.39
2018-01-04,4114.12,4137.64,4105.89,4128.81
2018-01-05,4133.34,4151.28,4123.28,4138.75
2018-01-08,4140.85,4166.32,4127.31,4160.16
2018-01-09,4157.54,4191.28,4153.5,4189.3
2018-01-10,4187.2,4211.05,4175.14,4207.81
2018-01-11,4197.11,4211.8,4181.96,4205.59
2018-01-12,4205.14,4227.39,4199.03,4225.0
2018-01-15,4229.84,4262.93,4216.36,4225.24
2018-01-16,4215.62,4260.21,4213.13,4258.47
2018-01-17,4261.78,4283.34,4230.54,4248.12
2018-01-18,4259.38,4292.64,4246.68,4271.42
2018-01-19,4281.94,4316.57,4269.62,4285.4
2018-01-22,4276.48,4338.48,4275.9,4336.6
2018-01-23,4346.89,4383.57,4346.79,4382.61
2018-01-24,4389.45,4397.82,4349.09,4389.89
2018-01-25,4381.98,4392.2,4336.24,4365.08
2018-01-26,4352.22,4403.34,4351.49,4381.3
2018-01-29,4387.06,4395.91,4287.11,4302.02
2018-01-30,4286.68,4308.51,4251.57,4256.1
2018-01-31,4234.11,4287.86,4232.77,4275.9
2018-02-01,4276.34,4287.39,4214.29,4245.9
2018-02-02,4213.94,4271.76,4181.78,4271.23
2018-02-05,4204.46,4274.15,4200.14,4274.15
2018-02-06,4182.33,4211.52,4131.56,4148.89
2018-02-07,4205.74,4212.57,4048.42,4050.5
2018-02-08,4022.88,4071.67,3974.68,4012.05
2018-02-09,3896.17,3911.29,3759.15,3840.65
2018-02-12,3846.27,3907.84,3828.07,3890.1
2018-02-13,3925.6,3986.98,3925.6,3935.63
2018-02-14,3945.09,3971.4,3923.13,3966.96
2018-02-22,4020.97,4058.79,4009.92,4052.73
2018-02-23,4061.75,4085.2,4035.23,4071.09
2018-02-26,4093.4,4128.74,4048.98,4118.42
2018-02-27,4120.87,4120.87,4051.81,4058.98
2018-02-28,4016.79,4051.71,3991.71,4023.64
2018-03-01,3994.87,4061.03,3986.89,4049.09
2018-03-02,4014.95,4044.42,4006.94,4016.46
2018-03-05,4021.66,4042.83,3995.87,4018.1
2018-03-06,4034.99,4067.55,3998.93,4066.56
2018-03-07,4063.5,4089.7,4027.94,4036.65
2018-03-08,4038.95,4078.23,4029.71,4077.6
2018-03-09,4088.07,4110.67,4076.45,4108.87
2018-03-12,4130.71,4139.53,4112.77,4127.67
2018-03-13,4124.33,4130.28,4087.56,4091.25
2018-03-14,4076.06,4089.09,4066.49,4073.34
2018-03-15,4058.71,4098.99,4058.71,4096.16
2018-03-16,4096.89,4110.05,4055.82,4056.42
2018-03-19,4054.62,4074.52,4033.52,4074.25
2018-03-20,4045.74,4080.19,4040.31,4077.7
2018-03-21,4097.02,4110.12,4046.24,4061.05
2018-03-22,4062.07,4072.38,4003.72,4020.35
2018-03-23,3896.74,3928.51,3834.94,3904.94
2018-03-26,3862.69,3883.9,3829.92,3879.89
2018-03-27,3927.49,3936.78,3881.87,3913.27
2018-03-28,3865.05,3907.28,3835.88,3842.72
2018-03-29,3854.59,3913.96,3794.26,3894.05
2018-03-30,3893.75,3915.35,3879.21,3898.5
2018-04-02,3897.01,3937.02,3882.89,3886.92
2018-04-03,3850.15,3878.15,3839.93,3862.48
2018-04-04,3873.63,3898.61,3852.5,3854.86
2018-04-09,3851.95,3870.67,3827.41,3852.93
2018-04-10,3860.72,3927.42,3851.8,3927.17
2018-04-11,3934.17,3958.71,3924.96,3938.34
2018-04-12,3935.67,3937.78,3896.18,3898.64
2018-04-13,3920.74,3929.95,3866.19,3871.14
2018-04-16,3862.47,3869.16,3789.61,3808.86
2018-04-17,3812.87,3822.63,3745.44,3748.64
2018-04-18,3785.31,3789.66,3708.11,3766.28
2018-04-19,3774.78,3824.03,3767.8,3811.84
2018-04-20,3801.21,3815.44,3750.1,3760.85
2018-04-23,3754.69,3787.4,3735.18,3766.33
2018-04-24,3769.88,3854.43,3769.88,3843.49
2018-04-25,3824.59,3838.69,3817.03,3828.7
2018-04-26,3823.39,3828.71,3744.89,3755.49
2018-04-27,3771.04,3776.98,3714.64,3756.88
2018-05-02,3769.93,3787.3,3744.55,3763.65
2018-05-03,3756.17,3797.53,3732.37,3793.0
2018-05-04,3784.32,3801.52,3770.94,3774.6
2018-05-07,3782.54,3834.59,3776.03,3834.19
2018-05-08,3834.61,3892.07,3833.73,3878.68
2018-05-09,3876.13,3878.94,3855.74,3871.62
2018-05-10,3882.84,3894.49,3867.31,3893.06
2018-05-11,3902.15,3903.34,3871.95,3872.84
2018-05-14,3886.87,3919.3,3886.87,3909.29
2018-05-15,3920.14,3924.34,3892.92,3924.1
2018-05-16,3909.82,3923.34,3889.19,3892.84
2018-05-17,3895.49,3899.51,3858.85,3864.05
2018-05-18,3860.16,3903.06,3841.9,3903.06
2018-05-21,3925.54,3937.46,3913.6,3921.24
2018-05-22,3918.82,3918.82,3881.17,3906.21
2018-05-23,3898.27,3898.27,3854.58,3854.58
2018-05-24,3853.29,3859.1,3823.92,3827.22
2018-05-25,3823.74,3841.12,3804.13,3816.5
2018-05-28,3816.26,3846.55,3799.32,3833.26
2018-05-29,3824.19,3841.78,3800.67,3804.01
2018-05-30,3755.18,3767.89,3722.07,3723.37
2018-05-31,3749.3,3804.79,3742.53,3802.38
2018-06-01,3789.67,3802.54,3753.84,3770.59
2018-06-04,3785.19,3813.41,3776.62,3807.58
2018-06-05,3811.29,3845.56,3800.93,3845.32
2018-06-06,3839.68,3848.33,3830.9,3837.35
2018-06-07,3846.94,3859.85,3827.69,3831.01
2018-06-08,3819.45,3819.46,3759.27,3779.62
2018-06-11,3770.21,3792.55,3756.51,3779.98
2018-06-12,3783.19,3830.47,3765.26,3825.95
2018-06-13,3814.62,3817.45,3782.07,3788.34
2018-06-14,3774.64,3808.16,3759.25,3773.37
2018-06-15,3763.04,3780.34,3737.43,3753.43
2018-06-19,3702.67,3712.82,3583.02,3621.12
2018-06-20,3602.55,3649.34,3578.17,3635.44
2018-06-21,3633.56,3673.56,3589.49,3592.97
2018-06-22,3567.89,3609.08,3542.46,3608.9
2018-06-25,3625.8,3631.03,3559.03,3560.48
2018-06-26,3521.59,3541.78,3478.21,3531.11
2018-06-27,3525.13,3537.66,3441.79,3459.26
2018-06-28,3434.94,3477.06,3416.95,3423.53
2018-06-29,3431.96,3512.38,3425.22,3510.98
2018-07-02,3504.46,3506.9,3383.5,3407.96
2018-07-03,3410.48,3422.04,3319.29,3409.28
2018-07-04,3398.78,3418.33,3359.09,3363.75
2018-07-05,3365.55,3398.49,3330.71,3342.44
2018-07-06,3347.06,3396.25,3295.73,3365.12
2018-07-09,3378.91,3459.32,3378.91,3459.18
2018-07-10,3464.91,3474.14,3437.27,3467.52
2018-07-11,3398.93,3427.57,3375.14,3407.53
2018-07-12,3403.33,3499.1,3403.33,3481.06
2018-07-13,3488.5,3499.76,3474.91,3492.69
2018-07-16,3488.97,3506.24,3459.73,3472.09
2018-07-17,3466.42,3467.19,3420.97,3449.38
2018-07-18,3456.61,3479.26,3430.16,3431.32
2018-07-19,3444.8,3466.51,3417.96,3428.34
2018-07-20,3426.46,3505.93,3398.95,3492.89
2018-07-23,3471.86,3527.53,3464.65,3525.75
2018-07-24,3530.66,3596.51,3530.66,3581.71
2018-07-25,3589.51,3589.98,3566.31,3577.75
2018-07-26,3583.32,3593.92,3528.64,3536.25
2018-07-27,3533.77,3545.41,3512.7,3521.23
2018-07-30,3520.85,3550.9,3489.55,3515.08
2018-07-31,3510.47,3528.15,3493.15,3517.66
2018-08-01,3530.03,3543.61,3446.78,3447.39
2018-08-02,3434.35,3434.35,3322.1,3370.96
2018-08-03,3366.66,3381.34,3315.2,3315.28
2018-08-06,3312.82,3344.25,3257.69,3273.27
2018-08-07,3284.98,3368.96,3263.5,3368.87
2018-08-08,3362.15,3368.16,3311.77,3314.51
2018-08-09,3303.48,3408.39,3299.62,3397.53
2018-08-10,3398.41,3424.04,3380.57,3405.02
2018-08-13,3369.98,3396.19,3336.7,3390.34
2018-08-14,3386.48,3391.73,3356.61,3372.91
2018-08-15,3371.96,3372.14,3288.71,3291.98
2018-08-16,3251.86,3315.2,3231.56,3276.73
2018-08-17,3305.9,3311.57,3224.1,3229.62
2018-08-20,3238.22,3267.25,3209.01,3267.25
2018-08-21,3271.84,3331.71,3270.03,3326.65
2018-08-22,3328.97,3328.97,3299.39,3307.95
2018-08-23,3308.46,3336.11,3285.81,3320.03
2018-08-24,3308.48,3353.04,3291.87,3325.33
2018-08-27,3339.39,3406.57,3339.26,3406.57
2018-08-28,3408.15,3416.59,3388.81,3400.17
2018-08-29,3393.05,3398.71,3377.12,3386.57
2018-08-30,3385.81,3402.56,3349.47,3351.09
2018-08-31,3333.38,3356.58,3310.87,3334.5
2018-09-03,3320.69,3325.61,3291.78,3321.82
2018-09-04,3324.19,3370.96,3307.96,3363.9
2018-09-05,3349.7,3354.2,3298.14,3298.14
2018-09-06,3286.66,3311.5,3253.76,3262.88
2018-09-07,3273.89,3316.61,3253.73,3277.64
2018-09-10,3271.38,3277.88,3227.85,3230.07
2018-09-11,3229.71,3245.62,3209.11,3224.21
2018-09-12,3216.99,3225.6,3194.98,3202.02
2018-09-13,3239.69,3249.59,3191.4,3236.57
2018-09-14,3242.83,3254.1,3227.94,3242.09
2018-09-17,3224.93,3230.79,3200.51,3204.92
2018-09-18,3193.64,3270.11,3193.64,3269.43
2018-09-19,3262.0,3335.99,3258.31,3312.48
2018-09-20,3314.88,3332.31,3303.07,3310.13
2018-09-21,3320.7,3410.49,3307.77,3410.49
2018-09-25,3375.97,3394.38,3367.03,3379.8
2018-09-26,3388.56,3448.26,3383.24,3417.24
2018-09-27,3415.95,3423.71,3394.73,3403.59
2018-09-28,3409.96,3444.99,3404.7,3438.86
2018-10-08,3361.56,3364.46,3285.25,3290.9
