date,open,high,low,close
2019-02-20 13:55:00,1393.31,1395.75,1393.15,1395.55
2019-02-20 14:00:00,1395.84,1397.94,1395.8,1397.03
2019-02-20 14:05:00,1397.08,1401.86,1397.06,1401.86
2019-02-20 14:10:00,1401.99,1403.48,1401.95,1402.56
2019-02-20 14:15:00,1402.46,1402.49,1401.01,1402.45
2019-02-20 14:20:00,1402.34,1403.83,1400.19,1403.78
2019-02-20 14:25:00,1403.88,1405.84,1403.8,1405.54
2019-02-20 14:30:00,1405.56,1408.56,1405.55,1406.71
2019-02-20 14:35:00,1406.86,1411.29,1406.66,1411.27
2019-02-20 14:40:00,1411.17,1411.45,1408.66,1408.66
2019-02-20 14:45:00,1408.72,1408.86,1406.24,1406.74
2019-02-20 14:50:00,1406.7,1407.86,1406.43,1406.44
2019-02-20 14:55:00,1406.41,1407.23,1405.9,1407.05
2019-02-20 15:00:00,1407.13,1407.89,1407.09,1407.71
2019-02-21 09:35:00,1404.86,1414.16,1402.99,1413.42
2019-02-21 09:40:00,1413.51,1416.44,1403.32,1403.32
2019-02-21 09:45:00,1403.33,1408.0,1401.77,1407.94
2019-02-21 09:50:00,1408.35,1414.24,1407.69,1411.62
2019-02-21 09:55:00,1411.31,1412.95,1410.01,1412.92
2019-02-21 10:00:00,1413.18,1414.6,1411.07,1412.9
2019-02-21 10:05:00,1412.96,1419.98,1412.81,1419.94
2019-02-21 10:10:00,1420.14,1421.19,1416.62,1420.35
2019-02-21 10:15:00,1420.55,1421.32,1417.0,1417.07
2019-02-21 10:20:00,1416.94,1416.94,1413.27,1413.87
2019-02-21 10:25:00,1413.87,1415.14,1412.67,1413.29
2019-02-21 10:30:00,1413.42,1416.51,1413.35,1416.51
2019-02-21 10:35:00,1416.5,1417.35,1415.89,1415.89
2019-02-21 10:40:00,1415.97,1419.53,1414.96,1419.53
2019-02-21 10:45:00,1419.51,1420.36,1417.83,1417.85
2019-02-21 10:50:00,1417.79,1419.82,1416.72,1419.48
2019-02-21 10:55:00,1419.57,1423.77,1419.48,1423.77
2019-02-21 11:00:00,1423.46,1427.79,1423.29,1427.49
2019-02-21 11:05:00,1427.63,1428.31,1425.23,1425.23
2019-02-21 11:10:00,1425.56,1426.64,1424.28,1426.64
2019-02-21 11:15:00,1426.36,1427.76,1424.96,1425.7
2019-02-21 11:20:00,1425.5,1431.27,1425.37,1431.27
2019-02-21 11:25:00,1431.16,1435.16,1431.16,1431.96
2019-02-21 11:30:00,1431.71,1432.74,1431.39,1432.74
2019-02-21 13:05:00,1432.64,1439.42,1432.64,1439.27
2019-02-21 13:10:00,1439.45,1444.19,1439.45,1444.07
2019-02-21 13:15:00,1443.96,1450.87,1443.96,1450.74
2019-02-21 13:20:00,1450.95,1452.38,1449.38,1450.02
2019-02-21 13:25:00,1450.23,1450.85,1447.75,1447.75
2019-02-21 13:30:00,1447.76,1448.62,1447.14,1447.64
2019-02-21 13:35:00,1447.71,1448.46,1446.82,1446.82
2019-02-21 13:40:00,1446.83,1448.1,1446.15,1448.1
2019-02-21 13:45:00,1448.18,1448.22,1447.28,1447.85
2019-02-21 13:50:00,1447.74,1448.08,1441.81,1441.81
2019-02-21 13:55:00,1441.77,1441.77,1438.13,1438.15
2019-02-21 14:00:00,1437.72,1437.72,1428.28,1428.96
2019-02-21 14:05:00,1429.31,1429.81,1426.88,1429.66
2019-02-21 14:10:00,1429.89,1431.04,1427.5,1427.5
2019-02-21 14:15:00,1427.84,1427.84,1420.67,1420.67
2019-02-21 14:20:00,1420.43,1420.43,1413.18,1413.18
2019-02-21 14:25:00,1413.21,1418.21,1411.91,1417.45
2019-02-21 14:30:00,1417.93,1418.32,1416.48,1418.32
2019-02-21 14:35:00,1418.31,1418.43,1413.31,1414.16
2019-02-21 14:40:00,1414.75,1415.1,1412.15,1413.24
2019-02-21 14:45:00,1413.06,1413.14,1408.44,1408.44
2019-02-21 14:50:00,1408.6,1408.6,1405.9,1407.32
2019-02-21 14:55:00,1407.16,1411.81,1407.16,1411.81
2019-02-21 15:00:00,1411.71,1413.09,1411.23,1412.7
2019-02-22 09:35:00,1409.86,1418.46,1409.47,1416.98
2019-02-22 09:40:00,1416.76,1420.26,1414.96,1417.12
2019-02-22 09:45:00,1417.0,1421.9,1413.64,1421.9
2019-02-22 09:50:00,1421.85,1423.58,1419.64,1419.7
2019-02-22 09:55:00,1419.54,1419.54,1411.32,1412.06
2019-02-22 10:00:00,1411.71,1417.62,1411.63,1415.51
2019-02-22 10:05:00,1414.87,1416.52,1413.99,1415.73
2019-02-22 10:10:00,1415.79,1421.21,1415.3,1420.99
2019-02-22 10:15:00,1420.89,1421.71,1418.92,1419.04
