date,open,high,low,close
2018-01-02,6263.15,6332.61,6258.16,6332.23
2018-01-03,6331.72,6391.98,6324.26,6388.25
2018-01-04,6380.27,6418.26,6375.51,6417.54
2018-01-05,6414.77,6435.85,6397.29,6417.25
2018-01-08,6413.87,6446.79,6393.88,6446.18
2018-01-09,6441.68,6449.03,6425.03,6445.75
2018-01-10,6443.46,6444.31,6361.09,6405.94
2018-01-11,6391.9,6432.44,6371.54,6425.94
2018-01-12,6418.83,6435.19,6387.78,6399.37
2018-01-15,6391.37,6392.52,6236.56,6253.38
2018-01-16,6245.15,6301.4,6245.11,6301.13
2018-01-17,6288.02,6288.14,6202.32,6267.46
2018-01-18,6253.06,6295.78,6253.06,6286.8
2018-01-19,6284.6,6317.0,6261.24,6272.38
2018-01-22,6264.76,6347.81,6248.31,6347.64
2018-01-23,6342.69,6362.58,6330.46,6355.0
2018-01-24,6353.3,6395.57,6322.92,6394.3
2018-01-25,6386.8,6424.35,6380.84,6382.72
2018-01-26,6374.1,6401.48,6368.9,6383.63
2018-01-29,6385.04,6398.97,6295.9,6309.88
2018-01-30,6301.35,6330.54,6300.46,6313.44
2018-01-31,6277.74,6277.74,6170.16,6189.34
2018-02-01,6181.0,6196.71,5984.28,5984.74
2018-02-02,5937.62,6006.47,5844.46,6004.85
2018-02-05,5927.74,6016.16,5907.47,5998.22
2018-02-06,5886.35,5920.74,5702.85,5704.26
2018-02-07,5805.97,5831.81,5630.09,5711.33
2018-02-08,5695.67,5786.79,5691.29,5766.48
2018-02-09,5631.96,5663.1,5490.62,5554.9
2018-02-12,5581.71,5714.82,5581.71,5699.1
2018-02-13,5731.15,5789.7,5727.75,5736.95
2018-02-14,5741.88,5761.77,5712.88,5754.83
2018-02-22,5800.95,5875.76,5797.91,5875.73
2018-02-23,5877.72,5902.94,5848.52,5897.68
2018-02-26,5926.42,6032.14,5917.62,6029.68
2018-02-27,6025.88,6042.39,6000.88,6010.56
2018-02-28,5967.9,6044.07,5939.64,6023.68
2018-03-01,5987.36,6091.0,5974.12,6090.22
2018-03-02,6053.48,6094.8,6044.26,6056.34
2018-03-05,6066.68,6080.97,6031.98,6064.1
2018-03-06,6077.37,6145.85,6070.72,6145.58
2018-03-07,6133.95,6149.1,6082.58,6086.49
2018-03-08,6073.67,6131.7,6073.67,6131.51
2018-03-09,6131.12,6211.28,6131.01,6206.98
2018-03-12,6230.81,6295.78,6230.39,6295.78
2018-03-13,6285.8,6297.43,6251.4,6254.15
2018-03-14,6234.24,6253.17,6185.18,6189.32
2018-03-15,6172.85,6203.24,6117.6,6180.11
2018-03-16,6181.38,6205.87,6146.31,6146.31
2018-03-19,6142.52,6186.61,6118.3,6153.83
2018-03-20,6109.61,6176.5,6091.5,6173.7
2018-03-21,6182.11,6224.56,6125.14,6129.2
2018-03-22,6130.05,6161.37,6074.66,6101.23
2018-03-23,5913.37,5978.42,5722.77,5787.15
2018-03-26,5715.35,5902.96,5675.37,5902.96
2018-03-27,5956.24,6043.05,5956.24,6034.78
2018-03-28,5962.56,6036.16,5949.1,5973.34
2018-03-29,5993.97,6040.86,5967.63,6034.86
2018-03-30,6052.18,6115.27,6051.02,6114.74
2018-04-02,6127.23,6169.3,6113.34,6121.96
2018-04-03,6039.07,6066.44,6008.51,6059.71
2018-04-04,6077.65,6098.84,6011.15,6017.69
2018-04-09,5994.35,6053.97,5954.54,6025.65
2018-04-10,6032.49,6064.39,5993.0,6063.74
2018-04-11,6082.03,6110.18,6073.22,6086.61
2018-04-12,6073.77,6091.98,6039.56,6051.33
2018-04-13,6073.84,6093.35,6018.01,6027.19
2018-04-16,6018.17,6053.99,5966.2,6012.41
2018-04-17,6024.55,6038.25,5886.02,5890.86
2018-04-18,5925.84,5981.34,5826.65,5970.66
2018-04-19,5965.24,6041.99,5962.71,6004.73
2018-04-20,5984.06,5999.01,5872.5,5880.84
2018-04-23,5885.61,5913.57,5761.97,5823.92
2018-04-24,5825.45,5957.83,5825.45,5957.19
2018-04-25,5929.41,5968.88,5919.52,5959.42
2018-04-26,5951.19,5955.26,5846.08,5847.98
2018-04-27,5865.44,5886.0,5808.78,5860.98
2018-05-02,5861.84,5894.46,5817.39,5855.32
2018-05-03,5843.09,5911.09,5779.73,5910.61
2018-05-04,5891.12,5939.95,5883.7,5909.29
2018-05-07,5921.31,6023.19,5918.38,6019.14
2018-05-08,6023.58,6042.07,6012.13,6041.81
2018-05-09,6034.46,6042.91,6002.39,6029.23
2018-05-10,6036.01,6052.71,5999.95,6040.57
2018-05-11,6044.98,6052.54,5989.43,5991.34
2018-05-14,5982.47,6008.89,5951.67,5967.55
2018-05-15,5972.16,6021.02,5947.46,6020.57
2018-05-16,6002.75,6045.03,5991.38,6004.07
2018-05-17,6000.74,6010.3,5959.73,5973.78
2018-05-18,5968.56,6000.95,5932.13,5995.15
2018-05-21,6034.43,6080.82,6034.06,6072.2
2018-05-22,6066.25,6092.91,6052.09,6092.91
2018-05-23,6080.73,6081.53,6012.42,6013.85
2018-05-24,6014.02,6028.5,5986.72,5992.62
2018-05-25,5983.94,5992.48,5909.04,5917.8
2018-05-28,5910.48,5938.07,5858.27,5891.26
2018-05-29,5884.59,5921.72,5832.55,5835.45
2018-05-30,5759.45,5778.04,5675.91,5682.59
2018-05-31,5722.95,5760.2,5672.18,5754.47
2018-06-01,5729.92,5759.5,5654.84,5685.12
2018-06-04,5692.97,5707.49,5652.14,5683.15
2018-06-05,5681.22,5779.86,5680.49,5779.08
2018-06-06,5770.71,5784.61,5748.7,5774.26
2018-06-07,5786.46,5798.33,5734.63,5738.02
2018-06-08,5731.84,5731.84,5630.66,5669.3
2018-06-11,5657.65,5672.63,5612.87,5632.36
2018-06-12,5638.35,5693.61,5594.92,5693.35
2018-06-13,5678.81,5679.67,5605.55,5607.02
2018-06-14,5590.57,5645.19,5570.83,5586.93
2018-06-15,5582.84,5593.69,5448.07,5483.94
2018-06-19,5396.68,5409.41,5070.22,5141.71
2018-06-20,5114.06,5222.88,5090.22,5198.39
2018-06-21,5196.13,5244.65,5086.93,5089.25
2018-06-22,5052.44,5165.04,5017.51,5160.12
2018-06-25,5196.65,5211.76,5121.21,5125.03
2018-06-26,5059.38,5170.17,5044.24,5160.28
2018-06-27,5159.62,5188.2,5089.71,5109.5
2018-06-28,5097.51,5150.66,5050.32,5055.11
2018-06-29,5061.09,5218.91,5054.05,5217.76
2018-07-02,5216.85,5238.64,5100.87,5138.78
2018-07-03,5138.55,5203.36,5054.66,5197.13
2018-07-04,5171.19,5180.27,5102.78,5121.34
2018-07-05,5109.14,5126.47,4981.78,4982.76
2018-07-06,4981.98,5061.04,4897.26,4996.63
2018-07-09,5007.21,5107.87,5007.21,5107.55
2018-07-10,5114.12,5141.71,5094.29,5136.53
2018-07-11,5060.07,5070.49,4973.99,5036.16
2018-07-12,5029.29,5184.02,5029.29,5172.5
2018-07-13,5174.51,5207.36,5167.16,5204.19
2018-07-16,5201.53,5216.56,5170.22,5195.2
2018-07-17,5189.15,5196.2,5132.21,5196.2
2018-07-18,5198.89,5220.18,5156.64,5156.64
