date,open,high,low,close
2019-02-20 13:55:00,3428.6,3432.1,3428.37,3431.79
2019-02-20 14:00:00,3431.55,3437.89,3431.55,3436.73
2019-02-20 14:05:00,3436.73,3442.33,3436.48,3442.33
2019-02-20 14:10:00,3442.46,3445.8,3441.04,3441.72
2019-02-20 14:15:00,3441.72,3442.06,3439.99,3441.33
2019-02-20 14:20:00,3441.12,3443.21,3438.4,3442.84
2019-02-20 14:25:00,3443.5,3447.35,3443.35,3446.92
2019-02-20 14:30:00,3447.45,3448.27,3446.53,3446.87
2019-02-20 14:35:00,3447.0,3452.86,3446.79,3452.28
2019-02-20 14:40:00,3452.32,3453.2,3449.26,3449.57
2019-02-20 14:45:00,3449.49,3449.9,3448.05,3448.83
2019-02-20 14:50:00,3449.24,3450.25,3447.55,3447.55
2019-02-20 14:55:00,3447.17,3449.26,3447.17,3448.95
2019-02-20 15:00:00,3448.89,3451.1,3448.83,3451.1
2019-02-21 09:35:00,3450.14,3450.14,3439.59,3443.95
2019-02-21 09:40:00,3444.48,3447.76,3435.54,3435.54
2019-02-21 09:45:00,3435.34,3441.38,3431.94,3439.64
2019-02-21 09:50:00,3440.13,3450.99,3438.77,3448.44
2019-02-21 09:55:00,3448.12,3451.32,3447.58,3450.96
2019-02-21 10:00:00,3450.94,3452.35,3446.59,3451.02
2019-02-21 10:05:00,3451.33,3460.82,3451.2,3460.82
2019-02-21 10:10:00,3460.82,3460.96,3454.5,3458.75
2019-02-21 10:15:00,3458.78,3459.43,3451.73,3451.73
2019-02-21 10:20:00,3451.97,3451.97,3446.34,3447.59
2019-02-21 10:25:00,3447.5,3448.24,3444.24,3444.93
2019-02-21 10:30:00,3445.12,3452.03,3445.05,3451.96
2019-02-21 10:35:00,3452.07,3453.78,3451.75,3452.47
2019-02-21 10:40:00,3451.87,3455.35,3451.65,3455.35
2019-02-21 10:45:00,3455.45,3457.35,3453.16,3453.16
2019-02-21 10:50:00,3452.87,3456.49,3452.15,3456.49
2019-02-21 10:55:00,3457.01,3460.98,3457.01,3460.71
2019-02-21 11:00:00,3460.65,3468.78,3460.65,3468.46
2019-02-21 11:05:00,3468.91,3470.71,3466.81,3466.81
2019-02-21 11:10:00,3466.45,3467.48,3463.9,3466.93
2019-02-21 11:15:00,3466.89,3467.59,3462.7,3463.56
2019-02-21 11:20:00,3464.05,3467.22,3463.65,3467.22
2019-02-21 11:25:00,3467.31,3470.59,3463.19,3463.19
2019-02-21 11:30:00,3462.61,3465.04,3462.61,3465.04
2019-02-21 13:05:00,3465.02,3474.92,3465.02,3474.92
2019-02-21 13:10:00,3475.37,3478.99,3475.37,3478.53
2019-02-21 13:15:00,3478.82,3487.48,3478.42,3487.19
2019-02-21 13:20:00,3487.4,3491.32,3487.4,3491.09
2019-02-21 13:25:00,3491.1,3492.61,3487.68,3488.24
2019-02-21 13:30:00,3488.2,3491.49,3487.13,3491.49
